EEFF,255,255
Horizontal Resolution Mode,255,LoopNum,255
Loop1,FireTime1,Loop2,FireTime2,Loop3,FireTime3,Loop4,FireTime4,Loop5,FireTime5,Loop6,FireTime6,Loop7,FireTime7,Loop8,FireTime8,Loop9,FireTime9,Loop10,FireTime10,Loop11,FireTime11,Loop12,FireTime12,Loop13,FireTime13,Loop14,FireTime14,Loop15,FireTime15,Loop16,FireTime16,Loop17,FireTime17,Loop18,FireTime18,Loop19,FireTime19,Loop20,FireTime20,Loop21,FireTime21,Loop22,FireTime22,Loop23,FireTime23,Loop24,FireTime24,Loop25,FireTime25,Loop26,FireTime26,Loop27,FireTime27,Loop28,FireTime28,Loop29,FireTime29,Loop30,FireTime30,Loop31,FireTime31,Loop32,FireTime32,Loop33,FireTime33,Loop34,FireTime34,Loop35,FireTime35,Loop36,FireTime36,Loop37,FireTime37,Loop38,FireTime38,Loop39,FireTime39,Loop40,FireTime40,Loop41,FireTime41,Loop42,FireTime42,Loop43,FireTime43,Loop44,FireTime44,Loop45,FireTime45,Loop46,FireTime46,Loop47,FireTime47,Loop48,FireTime48,Loop49,FireTime49,Loop50,FireTime50,Loop51,FireTime51,Loop52,FireTime52,Loop53,FireTime53,Loop54,FireTime54,Loop55,FireTime55,Loop56,FireTime56,Loop57,FireTime57,Loop58,FireTime58,Loop59,FireTime59,Loop60,FireTime60,Loop61,FireTime61,Loop62,FireTime62,Loop63,FireTime63,Loop64,FireTime64,Loop65,FireTime65,Loop66,FireTime66,Loop67,FireTime67,Loop68,FireTime68,Loop69,FireTime69,Loop70,FireTime70,Loop71,FireTime71,Loop72,FireTime72,Loop73,FireTime73,Loop74,FireTime74,Loop75,FireTime75,Loop76,FireTime76,Loop77,FireTime77,Loop78,FireTime78,Loop79,FireTime79,Loop80,FireTime80,Loop81,FireTime81,Loop82,FireTime82,Loop83,FireTime83,Loop84,FireTime84,Loop85,FireTime85,Loop86,FireTime86,Loop87,FireTime87,Loop88,FireTime88,Loop89,FireTime89,Loop90,FireTime90,Loop91,FireTime91,Loop92,FireTime92,Loop93,FireTime93,Loop94,FireTime94,Loop95,FireTime95,Loop96,FireTime96,Loop97,FireTime97,Loop98,FireTime98,Loop99,FireTime99,Loop100,FireTime100,Loop101,FireTime101,Loop102,FireTime102,Loop103,FireTime103,Loop104,FireTime104,Loop105,FireTime105,Loop106,FireTime106,Loop107,FireTime107,Loop108,FireTime108,Loop109,FireTime109,Loop110,FireTime110,Loop111,FireTime111,Loop112,FireTime112,Loop113,FireTime113,Loop114,FireTime114,Loop115,FireTime115,Loop116,FireTime116,Loop117,FireTime117,Loop118,FireTime118,Loop119,FireTime119,Loop120,FireTime120,Loop121,FireTime121,Loop122,FireTime122,Loop123,FireTime123,Loop124,FireTime124,Loop125,FireTime125,Loop126,FireTime126,Loop127,FireTime127,Loop128,FireTime128,Loop129,FireTime129,Loop130,FireTime130,Loop131,FireTime131,Loop132,FireTime132,Loop133,FireTime133,Loop134,FireTime134,Loop135,FireTime135,Loop136,FireTime136,Loop137,FireTime137,Loop138,FireTime138,Loop139,FireTime139,Loop140,FireTime140,Loop141,FireTime141,Loop142,FireTime142,Loop143,FireTime143,Loop144,FireTime144,Loop145,FireTime145,Loop146,FireTime146,Loop147,FireTime147,Loop148,FireTime148,Loop149,FireTime149,Loop150,FireTime150,Loop151,FireTime151,Loop152,FireTime152,Loop153,FireTime153,Loop154,FireTime154,Loop155,FireTime155,Loop156,FireTime156,Loop157,FireTime157,Loop158,FireTime158,Loop159,FireTime159,Loop160,FireTime160,Loop161,FireTime161,Loop162,FireTime162,Loop163,FireTime163,Loop164,FireTime164,Loop165,FireTime165,Loop166,FireTime166,Loop167,FireTime167,Loop168,FireTime168,Loop169,FireTime169,Loop170,FireTime170,Loop171,FireTime171,Loop172,FireTime172,Loop173,FireTime173,Loop174,FireTime174,Loop175,FireTime175,Loop176,FireTime176,Loop177,FireTime177,Loop178,FireTime178,Loop179,FireTime179,Loop180,FireTime180,Loop181,FireTime181,Loop182,FireTime182,Loop183,FireTime183,Loop184,FireTime184,Loop185,FireTime185,Loop186,FireTime186,Loop187,FireTime187,Loop188,FireTime188,Loop189,FireTime189,Loop190,FireTime190,Loop191,FireTime191,Loop192,FireTime192,Loop193,FireTime193,Loop194,FireTime194,Loop195,FireTime195,Loop196,FireTime196,Loop197,FireTime197,Loop198,FireTime198,Loop199,FireTime199,Loop200,FireTime200,Loop201,FireTime201,Loop202,FireTime202,Loop203,FireTime203,Loop204,FireTime204,Loop205,FireTime205,Loop206,FireTime206,Loop207,FireTime207,Loop208,FireTime208,Loop209,FireTime209,Loop210,FireTime210,Loop211,FireTime211,Loop212,FireTime212,Loop213,FireTime213,Loop214,FireTime214,Loop215,FireTime215,Loop216,FireTime216,Loop217,FireTime217,Loop218,FireTime218,Loop219,FireTime219,Loop220,FireTime220,Loop221,FireTime221,Loop222,FireTime222,Loop223,FireTime223,Loop224,FireTime224,Loop225,FireTime225,Loop226,FireTime226,Loop227,FireTime227,Loop228,FireTime228,Loop229,FireTime229,Loop230,FireTime230,Loop231,FireTime231,Loop232,FireTime232,Loop233,FireTime233,Loop234,FireTime234,Loop235,FireTime235,Loop236,FireTime236,Loop237,FireTime237,Loop238,FireTime238,Loop239,FireTime239,Loop240,FireTime240,Loop241,FireTime241,Loop242,FireTime242,Loop243,FireTime243,Loop244,FireTime244,Loop245,FireTime245,Loop246,FireTime246,Loop247,FireTime247,Loop248,FireTime248,Loop249,FireTime249,Loop250,FireTime250,Loop251,FireTime251,Loop252,FireTime252,Loop253,FireTime253,Loop254,FireTime254,Loop255,FireTime255
1,0,1,0,1,0,1,0,1,nan,1,0.0198954,1,0.0422244,1,0.0645323,1,0.086808,1,0.10904,1,0.131218,1,0.153331,1,0.175367,1,0.197315,1,0.219165,1,0.240906,1,0.262526,1,0.284015,1,0.305363,1,0.326558,1,0.34759,1,0.368449,1,0.389124,1,0.409605,1,0.429881,1,0.449943,1,0.46978,1,0.489382,1,0.508741,1,0.527846,1,0.546687,1,0.565255,1,0.583541,1,0.601536,1,0.619231,1,0.636617,1,0.653685,1,0.670427,1,0.686834,1,0.702898,1,0.718612,1,0.733967,1,0.748956,1,0.763571,1,0.777805,1,0.79165,1,0.805101,1,0.81815,1,0.83079,1,0.843016,1,0.854821,1,0.8662,1,0.877146,1,0.887655,1,0.89772,1,0.907338,1,0.916502,1,0.92521,1,0.933455,1,0.941235,1,0.948545,1,0.955382,1,0.961741,1,0.967621,1,0.973018,1,0.977929,1,0.982353,1,0.986286,1,0.989726,1,0.992673,1,0.995125,1,0.997079,1,0.998537,1,0.999496,1,0.999956,1,0.999917,1,0.999379,1,0.998342,1,0.996807,1,0.994774,1,0.992245,1,0.989221,1,0.985703,1,0.981694,1,0.977194,1,0.972207,1,0.966734,1,0.960779,1,0.954345,1,0.947434,1,0.94005,1,0.932198,1,0.92388,1,0.9151,1,0.905865,1,0.896177,1,0.886042,1,0.875464,1,0.86445,1,0.853005,1,0.841133,1,0.828842,1,0.816138,1,0.803026,1,0.789513,1,0.775606,1,0.761312,1,0.746638,1,0.731592,1,0.71618,1,0.700411,1,0.684293,1,0.667833,1,0.651039,1,0.633921,1,0.616486,1,0.598744,1,0.580703,1,0.562372,1,0.54376,1,0.524878,1,0.505733,1,0.486335,1,0.466695,1,0.446822,1,0.426727,1,0.406418,1,0.385906,1,0.365202,1,0.344315,1,0.323257,1,0.302037,1,0.280667,1,0.259156,1,0.237516,1,0.215758,1,0.193892,1,0.171929,1,0.14988,1,0.127757,1,0.10557,1,0.08333,1,0.0610485,1,0.0387366,1,0.0164054,1,-0.00593408,1,-0.0282706,1,-0.0505929,1,-0.0728901,1,-0.0951508,1,-0.117364,1,-0.139519,1,-0.161604,1,-0.183608,1,-0.205521,1,-0.227331,1,-0.249028,1,-0.2706,1,-0.292038,1,-0.31333,1,-0.334465,1,-0.355433,1,-0.376224,1,-0.396828,1,-0.417233,1,-0.43743,1,-0.457408,1,-0.477159,1,-0.496671,1,-0.515935,1,-0.534942,1,-0.553682,1,-0.572146,1,-0.590324,1,-0.608207,1,-0.625787,1,-0.643055,1,-0.660002,1,-0.676619,1,-0.692899,1,-0.708832,1,-0.724413,1,-0.739631,1,-0.754481,1,-0.768953,1,-0.783043,1,-0.796741,1,-0.810042,1,-0.822938,1,-0.835424,1,-0.847493,1,-0.859139,1,-0.870356,1,-0.881138,1,-0.891481,1,-0.90138,1,-0.910828,1,-0.919822,1,-0.928356,1,-0.936427,1,-0.944031,1,-0.951164,1,-0.957823,1,-0.964003,1,-0.969702,1,-0.974917,1,-0.979645,1,-0.983885,1,-0.987634,1,-0.990889,1,-0.993651,1,-0.995916,1,-0.997684,1,-0.998955,1,-0.999727,1,-0.999999,1,-0.999773,1,-0.999048,1,-0.997825,1,-0.996103,1,-0.993884,1,-0.991169,1,-0.98796,1,-0.984257,1,-0.980064,1,-0.975381,1,-0.970211,1,-0.964557,1,-0.958422,1,-0.951809,1,-0.94472,1,-0.93716,1,-0.929133,1,-0.920641,1,-0.91169,1,-0.902285,1,-0.892428,1,-0.882127,1,-0.871385,1,-0.860209,1,-0.848603,1,-0.836573,1,-0.824126,1,-0.811268,1,-0.798005,1,-0.784343,1,-0.770291,1,-0.755853,1,-0.741039,1,-0.725855,1,-0.710308,1,-0.694407,1,-0.67816,1,-0.661574,1,-0.644657
2,0,2,0,2,0,2,0,2,0,2,0.0200699,2,0.0423988,2,0.0647065,2,0.0869819,2,0.109214,2,0.131391,2,0.153503,2,0.175539,2,0.197486,2,0.219335,2,0.241075,2,0.262694,2,0.284183,2,0.305529,2,0.326723,2,0.347754,2,0.368611,2,0.389285,2,0.409764,2,0.430038,2,0.450098,2,0.469934,2,0.489535,2,0.508891,2,0.527994,2,0.546833,2,0.565399,2,0.583683,2,0.601676,2,0.619368,2,0.636751,2,0.653817,2,0.670556,2,0.686961,2,0.703022,2,0.718733,2,0.734086,2,0.749071,2,0.763683,2,0.777914,2,0.791757,2,0.805204,2,0.81825,2,0.830887,2,0.84311,2,0.854912,2,0.866287,2,0.87723,2,0.887735,2,0.897797,2,0.907411,2,0.916572,2,0.925276,2,0.933518,2,0.941294,2,0.9486,2,0.955433,2,0.961789,2,0.967665,2,0.973058,2,0.977966,2,0.982385,2,0.986314,2,0.989751,2,0.992694,2,0.995142,2,0.997093,2,0.998546,2,0.999501,2,0.999957,2,0.999914,2,0.999372,2,0.998332,2,0.996793,2,0.994757,2,0.992224,2,0.989196,2,0.985674,2,0.98166,2,0.977157,2,0.972166,2,0.96669,2,0.960731,2,0.954293,2,0.947378,2,0.939991,2,0.932134,2,0.923813,2,0.91503,2,0.905791,2,0.896099,2,0.885961,2,0.87538,2,0.864363,2,0.852914,2,0.841039,2,0.828745,2,0.816037,2,0.802922,2,0.789406,2,0.775496,2,0.761199,2,0.746522,2,0.731473,2,0.716058,2,0.700287,2,0.684165,2,0.667703,2,0.650907,2,0.633786,2,0.616349,2,0.598604,2,0.580561,2,0.562228,2,0.543614,2,0.524729,2,0.505582,2,0.486183,2,0.466541,2,0.446666,2,0.426569,2,0.406258,2,0.385745,2,0.365039,2,0.344151,2,0.323092,2,0.301871,2,0.280499,2,0.258988,2,0.237347,2,0.215588,2,0.193721,2,0.171757,2,0.149708,2,0.127584,2,0.105396,2,0.0831561,2,0.0608743,2,0.0385622,2,0.0162308,2,-0.00610861,2,-0.028445,2,-0.0507673,2,-0.0730641,2,-0.0953246,2,-0.117537,2,-0.139692,2,-0.161776,2,-0.18378,2,-0.205692,2,-0.227501,2,-0.249197,2,-0.270768,2,-0.292205,2,-0.313495,2,-0.334629,2,-0.355596,2,-0.376386,2,-0.396988,2,-0.417391,2,-0.437587,2,-0.457564,2,-0.477312,2,-0.496823,2,-0.516085,2,-0.53509,2,-0.553828,2,-0.572289,2,-0.590465,2,-0.608346,2,-0.625923,2,-0.643189,2,-0.660133,2,-0.676748,2,-0.693024,2,-0.708956,2,-0.724533,2,-0.739749,2,-0.754595,2,-0.769065,2,-0.783151,2,-0.796846,2,-0.810144,2,-0.823037,2,-0.83552,2,-0.847585,2,-0.859228,2,-0.870442,2,-0.881221,2,-0.89156,2,-0.901455,2,-0.9109,2,-0.91989,2,-0.928421,2,-0.936489,2,-0.944089,2,-0.951218,2,-0.957873,2,-0.964049,2,-0.969744,2,-0.974956,2,-0.97968,2,-0.983916,2,-0.987661,2,-0.990913,2,-0.99367,2,-0.995932,2,-0.997696,2,-0.998963,2,-0.999731,2,-1,2,-0.99977,2,-0.999041,2,-0.997813,2,-0.996087,2,-0.993865,2,-0.991146,2,-0.987933,2,-0.984227,2,-0.980029,2,-0.975342,2,-0.970169,2,-0.964511,2,-0.958372,2,-0.951755,2,-0.944663,2,-0.937099,2,-0.929068,2,-0.920573,2,-0.911619,2,-0.902209,2,-0.89235,2,-0.882045,2,-0.8713,2,-0.860119,2,-0.84851,2,-0.836478,2,-0.824027,2,-0.811166,2,-0.7979,2,-0.784235,2,-0.770179,2,-0.755739,2,-0.740922,2,-0.725735,2,-0.710185,2,-0.694282,2,-0.678031,2,-0.661443,2,-0.644524
3,0,3,0,3,0,3,0,3,4.76747e+27,3,0.0202444,3,0.0425732,3,0.0648806,3,0.0871557,3,0.109387,3,0.131564,3,0.153676,3,0.17571,3,0.197657,3,0.219506,3,0.241244,3,0.262863,3,0.28435,3,0.305695,3,0.326888,3,0.347918,3,0.368774,3,0.389445,3,0.409923,3,0.430196,3,0.450254,3,0.470088,3,0.489687,3,0.509041,3,0.528142,3,0.546979,3,0.565543,3,0.583825,3,0.601815,3,0.619505,3,0.636886,3,0.653949,3,0.670686,3,0.687088,3,0.703147,3,0.718855,3,0.734204,3,0.749187,3,0.763796,3,0.778024,3,0.791864,3,0.805308,3,0.81835,3,0.830984,3,0.843204,3,0.855002,3,0.866374,3,0.877314,3,0.887815,3,0.897874,3,0.907484,3,0.916642,3,0.925342,3,0.93358,3,0.941353,3,0.948655,3,0.955485,3,0.961837,3,0.967709,3,0.973099,3,0.978002,3,0.982418,3,0.986343,3,0.989776,3,0.992715,3,0.995159,3,0.997106,3,0.998555,3,0.999507,3,0.999959,3,0.999912,3,0.999366,3,0.998322,3,0.996779,3,0.994739,3,0.992202,3,0.98917,3,0.985645,3,0.981627,3,0.97712,3,0.972125,3,0.966645,3,0.960682,3,0.95424,3,0.947322,3,0.939931,3,0.932071,3,0.923746,3,0.91496,3,0.905717,3,0.896022,3,0.88588,3,0.875296,3,0.864275,3,0.852822,3,0.840945,3,0.828647,3,0.815936,3,0.802817,3,0.789298,3,0.775386,3,0.761086,3,0.746406,3,0.731354,3,0.715936,3,0.700162,3,0.684038,3,0.667573,3,0.650774,3,0.633651,3,0.616211,3,0.598464,3,0.580419,3,0.562083,3,0.543468,3,0.52458,3,0.505431,3,0.48603,3,0.466387,3,0.44651,3,0.426411,3,0.406099,3,0.385584,3,0.364877,3,0.343987,3,0.322926,3,0.301704,3,0.280332,3,0.258819,3,0.237177,3,0.215417,3,0.193549,3,0.171585,3,0.149535,3,0.127411,3,0.105223,3,0.0829821,3,0.0607001,3,0.0383878,3,0.0160563,3,-0.00628314,3,-0.0286195,3,-0.0509416,3,-0.0732382,3,-0.0954983,3,-0.117711,3,-0.139864,3,-0.161948,3,-0.183951,3,-0.205863,3,-0.227671,3,-0.249366,3,-0.270936,3,-0.292372,3,-0.313661,3,-0.334794,3,-0.35576,3,-0.376548,3,-0.397148,3,-0.41755,3,-0.437744,3,-0.457719,3,-0.477466,3,-0.496974,3,-0.516234,3,-0.535237,3,-0.553973,3,-0.572432,3,-0.590606,3,-0.608484,3,-0.62606,3,-0.643322,3,-0.660264,3,-0.676876,3,-0.69315,3,-0.709079,3,-0.724653,3,-0.739866,3,-0.75471,3,-0.769177,3,-0.78326,3,-0.796952,3,-0.810246,3,-0.823136,3,-0.835616,3,-0.847678,3,-0.859317,3,-0.870528,3,-0.881303,3,-0.89164,3,-0.901531,3,-0.910972,3,-0.919958,3,-0.928486,3,-0.93655,3,-0.944147,3,-0.951272,3,-0.957923,3,-0.964095,3,-0.969787,3,-0.974994,3,-0.979715,3,-0.983947,3,-0.987688,3,-0.990936,3,-0.99369,3,-0.995947,3,-0.997708,3,-0.998971,3,-0.999735,3,-1,3,-0.999766,3,-0.999033,3,-0.997801,3,-0.996072,3,-0.993846,3,-0.991123,3,-0.987906,3,-0.984196,3,-0.979994,3,-0.975304,3,-0.970127,3,-0.964465,3,-0.958323,3,-0.951702,3,-0.944606,3,-0.937038,3,-0.929003,3,-0.920505,3,-0.911547,3,-0.902134,3,-0.892271,3,-0.881962,3,-0.871214,3,-0.86003,3,-0.848418,3,-0.836382,3,-0.823928,3,-0.811064,3,-0.797794,3,-0.784127,3,-0.770068,3,-0.755625,3,-0.740805,3,-0.725615,3,-0.710063,3,-0.694156,3,-0.677903,3,-0.661312,3,-0.644391
4,0,4,0,4,0,4,0,4,4.5793e-41,4,0.0204189,4,0.0427475,4,0.0650548,4,0.0873296,4,0.109561,4,0.131737,4,0.153848,4,0.175882,4,0.197828,4,0.219676,4,0.241414,4,0.263031,4,0.284517,4,0.305861,4,0.327053,4,0.348081,4,0.368936,4,0.389606,4,0.410082,4,0.430354,4,0.45041,4,0.470242,4,0.489839,4,0.509192,4,0.52829,4,0.547125,4,0.565687,4,0.583966,4,0.601954,4,0.619642,4,0.63702,4,0.654081,4,0.670815,4,0.687214,4,0.703271,4,0.718976,4,0.734322,4,0.749303,4,0.763909,4,0.778134,4,0.79197,4,0.805411,4,0.818451,4,0.831082,4,0.843298,4,0.855093,4,0.866461,4,0.877397,4,0.887896,4,0.897951,4,0.907558,4,0.916712,4,0.925408,4,0.933643,4,0.941412,4,0.948711,4,0.955536,4,0.961885,4,0.967753,4,0.973139,4,0.978039,4,0.98245,4,0.986372,4,0.989801,4,0.992736,4,0.995176,4,0.997119,4,0.998565,4,0.999512,4,0.99996,4,0.99991,4,0.99936,4,0.998312,4,0.996765,4,0.994721,4,0.99218,4,0.989145,4,0.985615,4,0.981594,4,0.977083,4,0.972084,4,0.9666,4,0.960634,4,0.954188,4,0.947266,4,0.939872,4,0.932008,4,0.923679,4,0.914889,4,0.905643,4,0.895944,4,0.885799,4,0.875211,4,0.864187,4,0.852731,4,0.84085,4,0.828549,4,0.815835,4,0.802713,4,0.789191,4,0.775275,4,0.760972,4,0.74629,4,0.731235,4,0.715815,4,0.700037,4,0.683911,4,0.667443,4,0.650642,4,0.633516,4,0.616074,4,0.598325,4,0.580277,4,0.561939,4,0.543321,4,0.524432,4,0.505281,4,0.485878,4,0.466232,4,0.446354,4,0.426253,4,0.405939,4,0.385423,4,0.364714,4,0.343824,4,0.322761,4,0.301538,4,0.280164,4,0.25865,4,0.237008,4,0.215247,4,0.193378,4,0.171413,4,0.149363,4,0.127238,4,0.105049,4,0.0828082,4,0.0605259,4,0.0382134,4,0.0158818,4,-0.00645767,4,-0.028794,4,-0.0511159,4,-0.0734123,4,-0.095672,4,-0.117884,4,-0.140037,4,-0.162121,4,-0.184123,4,-0.206033,4,-0.227841,4,-0.249535,4,-0.271104,4,-0.292539,4,-0.313827,4,-0.334958,4,-0.355923,4,-0.376709,4,-0.397308,4,-0.417709,4,-0.4379,4,-0.457874,4,-0.477619,4,-0.497125,4,-0.516384,4,-0.535385,4,-0.554118,4,-0.572575,4,-0.590747,4,-0.608623,4,-0.626196,4,-0.643456,4,-0.660395,4,-0.677004,4,-0.693276,4,-0.709202,4,-0.724773,4,-0.739983,4,-0.754824,4,-0.769288,4,-0.783368,4,-0.797057,4,-0.810349,4,-0.823235,4,-0.835712,4,-0.847771,4,-0.859406,4,-0.870613,4,-0.881386,4,-0.891719,4,-0.901606,4,-0.911044,4,-0.920027,4,-0.928551,4,-0.936611,4,-0.944204,4,-0.951326,4,-0.957973,4,-0.964142,4,-0.969829,4,-0.975033,4,-0.97975,4,-0.983979,4,-0.987716,4,-0.99096,4,-0.993709,4,-0.995963,4,-0.99772,4,-0.998978,4,-0.999739,4,-1,4,-0.999762,4,-0.999025,4,-0.99779,4,-0.996057,4,-0.993826,4,-0.9911,4,-0.987879,4,-0.984165,4,-0.979959,4,-0.975265,4,-0.970084,4,-0.964419,4,-0.958273,4,-0.951648,4,-0.944548,4,-0.936977,4,-0.928939,4,-0.920437,4,-0.911475,4,-0.902059,4,-0.892192,4,-0.88188,4,-0.871128,4,-0.859941,4,-0.848325,4,-0.836286,4,-0.82383,4,-0.810962,4,-0.797689,4,-0.784019,4,-0.769957,4,-0.755511,4,-0.740687,4,-0.725495,4,-0.70994,4,-0.69403,4,-0.677775,4,-0.661181,4,-0.644257
5,0,5,0,5,0,5,0,5,0,5,0.0205934,5,0.0429219,5,0.065229,5,0.0875035,5,0.109734,5,0.13191,5,0.154021,5,0.176054,5,0.198,5,0.219846,5,0.241583,5,0.2632,5,0.284685,5,0.306028,5,0.327218,5,0.348245,5,0.369098,5,0.389767,5,0.410241,5,0.430511,5,0.450566,5,0.470396,5,0.489991,5,0.509342,5,0.528438,5,0.547271,5,0.565831,5,0.584108,5,0.602094,5,0.619779,5,0.637155,5,0.654213,5,0.670944,5,0.687341,5,0.703395,5,0.719097,5,0.734441,5,0.749418,5,0.764021,5,0.778243,5,0.792077,5,0.805515,5,0.818551,5,0.831179,5,0.843391,5,0.855183,5,0.866549,5,0.877481,5,0.887976,5,0.898028,5,0.907631,5,0.916781,5,0.925474,5,0.933705,5,0.941471,5,0.948766,5,0.955588,5,0.961932,5,0.967797,5,0.973179,5,0.978075,5,0.982483,5,0.986401,5,0.989826,5,0.992757,5,0.995193,5,0.997133,5,0.998574,5,0.999517,5,0.999962,5,0.999907,5,0.999354,5,0.998301,5,0.996751,5,0.994703,5,0.992158,5,0.989119,5,0.985586,5,0.981561,5,0.977046,5,0.972043,5,0.966555,5,0.960585,5,0.954136,5,0.94721,5,0.939812,5,0.931945,5,0.923612,5,0.914819,5,0.905569,5,0.895867,5,0.885718,5,0.875127,5,0.864099,5,0.85264,5,0.840756,5,0.828452,5,0.815734,5,0.802609,5,0.789084,5,0.775165,5,0.760859,5,0.746174,5,0.731116,5,0.715693,5,0.699913,5,0.683783,5,0.667313,5,0.650509,5,0.633381,5,0.615937,5,0.598185,5,0.580134,5,0.561795,5,0.543174,5,0.524283,5,0.50513,5,0.485725,5,0.466078,5,0.446198,5,0.426095,5,0.40578,5,0.385262,5,0.364552,5,0.34366,5,0.322596,5,0.301372,5,0.279997,5,0.258482,5,0.236838,5,0.215076,5,0.193207,5,0.171241,5,0.14919,5,0.127065,5,0.104876,5,0.0826343,5,0.0603517,5,0.038039,5,0.0157073,5,-0.0066322,5,-0.0289684,5,-0.0512902,5,-0.0735863,5,-0.0958458,5,-0.118057,5,-0.14021,5,-0.162293,5,-0.184294,5,-0.206204,5,-0.228011,5,-0.249704,5,-0.271272,5,-0.292706,5,-0.313992,5,-0.335123,5,-0.356086,5,-0.376871,5,-0.397468,5,-0.417867,5,-0.438057,5,-0.458029,5,-0.477772,5,-0.497277,5,-0.516533,5,-0.535532,5,-0.554263,5,-0.572718,5,-0.590887,5,-0.608761,5,-0.626332,5,-0.643589,5,-0.660526,5,-0.677133,5,-0.693402,5,-0.709325,5,-0.724894,5,-0.740101,5,-0.754939,5,-0.7694,5,-0.783477,5,-0.797163,5,-0.810451,5,-0.823335,5,-0.835807,5,-0.847863,5,-0.859496,5,-0.870699,5,-0.881468,5,-0.891798,5,-0.901682,5,-0.911116,5,-0.920095,5,-0.928615,5,-0.936672,5,-0.944261,5,-0.95138,5,-0.958023,5,-0.964188,5,-0.969872,5,-0.975072,5,-0.979785,5,-0.98401,5,-0.987743,5,-0.990983,5,-0.993729,5,-0.995979,5,-0.997732,5,-0.998986,5,-0.999743,5,-1,5,-0.999758,5,-0.999018,5,-0.997778,5,-0.996041,5,-0.993807,5,-0.991076,5,-0.987852,5,-0.984134,5,-0.979925,5,-0.975227,5,-0.970042,5,-0.964373,5,-0.958223,5,-0.951594,5,-0.944491,5,-0.936916,5,-0.928874,5,-0.920368,5,-0.911403,5,-0.901983,5,-0.892113,5,-0.881798,5,-0.871042,5,-0.859852,5,-0.848233,5,-0.83619,5,-0.823731,5,-0.81086,5,-0.797584,5,-0.78391,5,-0.769845,5,-0.755396,5,-0.74057,5,-0.725374,5,-0.709817,5,-0.693905,5,-0.677646,5,-0.66105,5,-0.644124
